Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,17.680000,17.889999,17.010000,17.860001,17.860001,3219800
2019-04-09,17.799999,18.049999,17.490000,17.549999,17.549999,2573400
2019-04-10,17.600000,18.480000,15.780000,18.240000,18.240000,6095000
2019-04-11,18.040001,18.139999,17.250000,17.540001,17.540001,2780800
2019-04-12,17.469999,18.730000,17.420000,18.629999,18.629999,3562600
2019-04-15,18.299999,18.500000,17.820000,18.090000,18.090000,1672400
2019-04-16,17.990000,18.620001,17.950001,18.459999,18.459999,1548100
2019-04-17,18.760000,19.270000,18.690001,19.230000,19.230000,3773000
2019-04-18,19.180000,19.520000,19.070000,19.500000,19.500000,2859600
2019-04-22,19.320000,19.709999,18.750000,19.170000,19.170000,1964000
2019-04-23,19.129999,19.520000,18.760000,19.510000,19.510000,1209900
2019-04-24,19.389999,19.990000,19.160000,19.879999,19.879999,1500600
2019-04-25,19.760000,20.740000,19.240000,19.910000,19.910000,2382500
2019-04-26,20.000000,20.510000,19.900000,20.469999,20.469999,1699700
2019-04-29,20.620001,21.480000,20.320000,20.389999,20.389999,4042400
2019-04-30,19.240000,20.850000,18.820000,20.240000,20.240000,3171300
2019-05-01,20.459999,21.230000,20.049999,20.830000,20.830000,2249800
2019-05-02,20.700001,20.969999,19.980000,20.750000,20.750000,2379000
2019-05-03,20.639999,21.139999,20.510000,20.950001,20.950001,1407600
2019-05-06,20.280001,20.690001,20.000000,20.360001,20.360001,1435400
2019-05-07,20.250000,20.350000,19.920000,20.057501,20.057501,248369
